--------------------SEM BIOMETRIA------------------------------------------------------------------------------------
Binário    Decimal  Forma de Entrada sem BIOMETRIA
1010101    85       Identificação Desabilitada, Verificação Habilitada, Somente Leitor 1 Habilitado, Teclado Habilitado
1010110    86       Identificação Desabilitada, Verificação Habilitada, Leitores 1 e 2 Habilitados, Teclado Desabilitado
1010111    87       Identificação Desabilitada, Verificação Habilitada, Leitores 1 e 2 Habilitados, Teclado Habilitado
1011000    88       Identificação Desabilitada, Verificação Habilitada, Leitor 1 Entrada/Saída invertidas, Teclado Desabilitado
1011001    89       Identificação Desabilitada, Verificação Habilitada, Leitor 1 Entrada/Saída invertidas, Teclado Habilitado
1100000    96       Identificação Habilitada, Verificação Desabilitada, Leitores 1 e 2 Desabilitados, Teclado Desabilitado
1100001    97       Identificação Habilitada, Verificação Desabilitada, Leitores 1 e 2 Desabilitados, Teclado Habilitado
1100010    98       Identificação Habilitada, Verificação Desabilitada, Somente Leitor 2 Habilitado, Teclado Desabilitado
1100011    99       Identificação Habilitada, Verificação Desabilitada, Somente Leitor 2 Habilitado, Teclado Habilitado
1100100    100      Identificação Habilitada, Verificação Desabilitada, Somente Leitor 1 Habilitado, Teclado Desabilitado
1100101    101      Identificação Habilitada, Verificação Desabilitada, Somente Leitor 1 Habilitado, Teclado Habilitado
1100110    102      Identificação Habilitada, Verificação Desabilitada, Leitores 1 e 2 Habilitados, Teclado Desabilitado
1100111    103      Identificação Habilitada, Verificação Desabilitada, Leitores 1 e 2 Habilitados, Teclado Habilitado
1101000    104      Identificação Habilitada, Verificação Desabilitada, Leitor 1 Entrada/Saída invertidas, Teclado Desabilitado
1101001    105      Identificação Habilitada, Verificação Desabilitada, Leitor 1 Entrada/Saída invertidas, Teclado Habilitado
1110000    112      Identificação Habilitada, Verificação Habilitada, Leitores 1 e 2 Desabilitados, Teclado Desabilitado
1110001    113      Identificação Habilitada, Verificação Habilitada, Leitores 1 e 2 Desabilitados, Teclado Habilitado
1110010    114      Identificação Habilitada, Verificação Habilitada, Somente Leitor 2 Habilitado, Teclado Desabilitado
1110011    115      Identificação Habilitada, Verificação Habilitada, Somente Leitor 2 Habilitado, Teclado Habilitado
1110100    116      Identificação Habilitada, Verificação Habilitada, Somente Leitor 1 Habilitado, Teclado Desabilitado
1110101    117      Identificação Habilitada, Verificação Habilitada, Somente Leitor 1 Habilitado, Teclado Habilitado
1110110    118      Identificação Habilitada, Verificação Habilitada, Leitores 1 e 2 Habilitados, Teclado Desabilitado
1110111    119      Identificação Habilitada, Verificação Habilitada, Leitores 1 e 2 Habilitados, Teclado Habilitado
1111000    120      Identificação Habilitada, Verificação Habilitada, Leitor 1 Entrada/Saída invertidas, Teclado Desabilitado
1111001    121      Identificação Habilitada, Verificação Habilitada, Leitor 1 Entrada/Saída invertidas, Teclado Habilitado
